giorno;mese;progessivo;santo
01;01;1;Solennità di Maria Santissima, Madre di Dio
01;01;2;deposizione di san Basilio, vescovo di Cesarea di Cappadocia
01;01;3;san Giustino, vescovo di Chieti
01;01;4;sant'Almachio, martire, ucciso a Roma dai gladiatori
01;01;5;sant'Eugendo, abate di Condat
01;01;6;san Fulgenzio, vescovo di Ruspe
01;01;7;san Chiaro, abate del monastero di San Marcello a Vienne
01;01;8;san Frodoberto, fondatore e primo abate di Moûtiers-la-Celle
01;01;9;san Guglielmo, abate di San Benigno a Digione
01;01;10;sant'Odilone, abate di Cluny
01;01;11;santa Zdislava, madre di famiglia
01;01;12;beato Ugolino da Gualdo Cattaneo, monaco
01;01;13;san Giuseppe Maria Tomasi, sacerdote teatino e cardinale
01;01;14;beati Giovanni e Renato Lego, sacerdoti e martiri
01;01;15;san Vincenzo Maria Strambi, passionista, vescovo di Macerata e Tolentino
01;01;16;san Sigismondo Gorazdowski, sacerdote, fondatore delle Suore di San Giuseppe
01;01;17;beato Mariano Konopi?ski, martire di Dachau.
02;01;1;santi Basilio Magno, vescovo di Cesarea di Cappadocia e Gregorio Nazianzeno, vescovo di Nazianzo, poi di Sasima e di Costantinopoli e dottori della Chiesa
02;01;2;san Telesforo, papa e martire
02;01;3;santi Argeo, Narciso e Marcellino, martiri
02;01;4;san Teodoro, vescovo di Marsiglia
02;01;5;san Bladulfo, sacerdote e monaco di Bobbio
02;01;6;san Giovanni il Buono, vescovo di Milano
02;01;7;san Vincenziano, eremita
02;01;8;san Mainchin, venerato come vescovo di Limerick
02;01;9;sant'Adalardo, abate di Corbie
02;01;10;sant'Airaldo, certosino, vescovo di Saint-Jean de Maurienne
02;01;11;san Silvestro, abate basiliano
02;01;12;beato Marcolino da Forlì, sacerdote domenicano
02;01;13;beata Stefana Quinzani, vergine, suora domenicana
02;01;14;beati Guglielmo Rèpin e Lorenzo Bàtard, sacerdoti e martiri di Angers
02;01;15;beata Maria Anna Soureau-Blondin, vergine, fondatrice delle Suore di Sant'Anna di Lachine.
03;01;1;Santissimo Nome di Gesù
03;01;2;sant'Antero, papa
03;01;3;santi Teopempto e Teona, martiri di Nicomedia
03;01;4;san Gordio, martire
03;01;5;san Daniele, diacono di Padova e martire
03;01;6;san Teogene, martire dell'Ellesponto
03;01;7;san Fiorenzo, vescovo di Vienne
03;01;8;santa Genoveffa, vergine
03;01;9;san Luciano, vescovo di Lentini
03;01;10;san Ciriaco Elia Chavara, fondatore delle congregazioni dei fratelli e delle suore del Carmelo malabaresi.
04;01;1;santi Ermete e Caio, martiri
04;01;2;san Gregorio, vescovo di Langres
04;01;3;san Ferreolo, vescovo di Uzès
04;01;4;san Rigomero, vescovo di Meaux
04;01;5;san Rigoberto, vescovo di Reims
04;01;6;santa Farailde, vedova di Gand
04;01;7;santa Angela da Foligno, vedova, terziaria francescana
04;01;8;beata Cristiana da Santa Croce, vergine
04;01;9;beato Tommaso Plumtree, martire d'Inghilterra
04;01;10;santa Elisabetta Anna Seton, vedova, fondatrice delle Suore della Carità
04;01;11;sant'Emanuele González García, vescovo di Malaga e poi di Palencia e fondatore delle Suore Missionarie Eucaristiche di Nazareth.
05;01;1;santa Sincletica, vergine
05;01;2;san Deogratias, vescovo di Cartagine
05;01;3;santa Emiliana, vergine
05;01;4;san Convoione, abate, fondatore del monastero di Saint-Sauveur a Redon
05;01;5;sant'Edoardo, detto il Confessore, re d'Inghilterra
05;01;6;san Gerlaco, eremita
05;01;7;beato Ruggero, sacerdote francescano
05;01;8;beati Francesco Peltier, Giacomo Ledoyen e Pietro Tessier, sacerdoti e martiri
05;01;9;san Giovanni Nepomuceno Neumann, redentorista, vescovo di Filadelfia
05;01;10;beata Maria Repetto, vergine della congregazione delle Suore di Nostra Signora del Rifugio in Monte Calvario
05;01;11;san Carlo di Sant'Andrea, sacerdote passionista
05;01;12;beata Maria Marcellina dell'Immacolata Concezione, vedova, fondatrice delle Suore dell'Immacolata Concezione della Beata Vergine Maria
05;01;13;beato Pietro Bonilli, sacerdote, fondatore delle Suore della Sacra Famiglia di Spoleto
05;01;14;beata Genoveffa Torres Morales, vergine, fondatrice delle Suore del Sacro Cuore di Gesù e dei Santi Angeli.
06;01;1;Solennità dell'Epifania del Signore
06;01;2;santi Giuliano e Basilissa, martiri
06;01;3;san Felice, vescovo di Nantes
06;01;4;beato Macario, abate
06;01;5;natale di san Raimondo di Peñafort
06;01;6;san Pietro Tommaso, carmelitano, patriarca di Costantinopoli
06;01;7;sant'Andrea Corsini, carmelitano, vescovo di Fiesole
06;01;8;san Giovanni de Ribera, vescovo di Valencia e viceré
06;01;9;san Carlo da Sezze, francescano
06;01;10;santa Raffaella Maria del Sacro Cuore, vergine, fondatrice delle Ancelle del Sacro Cuore di Gesù
06;01;11;sant'Andrea Besette, religioso della Congregazione di Santa Croce.
07;01;1;san Raimondo di Peñafort, sacerdote, maestro generale dell'ordine domenicano
